baseMean,log2FoldChange,lfcSE,pvalue,padj,Symbol
49.63042651,-0.200659257,0.274629369,0.286601677,0.494242486,ZUP1
11.26929332,0.164271189,0.354801483,0.286614229,0.494242486,BABAM2-AS1
148.2980062,-0.152905228,0.162237352,0.286676598,0.494301816,PIGB
122.3263387,-0.174462453,0.181543715,0.28675772,0.494393467,HINT2
15.548472,0.17807002,0.348024953,0.286821715,0.494407358,ZNF525
92.03302383,-0.183893476,0.216020841,0.286820763,0.494407358,HCFC2
9.971567263,0.154024811,0.357926489,0.286884909,0.494468071,FAM21FP
14.5986522,0.156954692,0.356482269,0.286942204,0.494470398,LOC107987126
105.9953112,-0.169716236,0.187644109,0.286921299,0.494470398,TMEM14B
54.00971138,0.198446024,0.257453541,0.287162767,0.494802245,CPEB2-DT
6.829692208,0.128524944,0.359305453,0.287197531,0.494813914,SLC6A4
9.724920112,0.145651397,0.358818083,0.287272531,0.494894896,INTS6L
28.18696937,0.198967894,0.306679564,0.287327912,0.494924857,TRIM6-TRIM34
23.18246515,0.115558308,0.361216796,0.287345919,0.494924857,LOC107986195
65.22168542,-0.189046148,0.232373355,0.287563274,0.495195193,RAP2A
5.866785511,0.117479319,0.359055152,0.287549275,0.495195193,LOC105376509
33.2560874,0.199315323,0.312975073,0.287586912,0.495195193,FRG1
60.75937561,0.194718485,0.23968383,0.287871915,0.495631697,LCAT
6.235259639,0.116984665,0.359021524,0.287952567,0.495631697,LOC107984320
33.13178541,0.200084133,0.305592785,0.287937665,0.495631697,ADCY10P1
95.94143756,-0.173017978,0.197708802,0.28790121,0.495631697,METTL5
9.311692567,0.150656296,0.357969712,0.288062416,0.495725804,ITIH6
113.2674611,-0.175356499,0.200104029,0.288119415,0.495725804,LOC105371490
7.889834049,0.116909083,0.359032519,0.288069605,0.495725804,LOC105370906
102.7938074,0.168242871,0.187045426,0.288099343,0.495725804,TRAF1
44.97211614,0.20079096,0.280402727,0.288289116,0.495969508,TAGAP-AS1
18.30709651,-0.172211136,0.349788712,0.288442227,0.496184628,HLA-C
17.93801449,0.173272335,0.349710911,0.288506855,0.496247512,LOC107983985
161.7714912,-0.160221619,0.172966115,0.288590899,0.496295487,SRSF9
66.79446344,-0.190004656,0.237066998,0.288581869,0.496295487,LIAS
11.35607668,-0.139287018,0.35904436,0.288708953,0.496450211,FTH1P7
190.525053,-0.141616035,0.147976381,0.288963532,0.496743008,POLR2F
12.75479175,0.115907505,0.358269584,0.28893792,0.496743008,C12orf40
105.7606649,-0.170886507,0.191491185,0.28893934,0.496743008,ZNF484
