gene_set,track,segment,bin,mean,ci_low,ci_high,n_genes
expressed,"H4, GSK591 24 h",TSS_pm400,10,7.281898395318007,5.121302129849127,9.726927793236182,56
expressed,"H4, GSK591 24 h",TSS_pm400,11,7.887149087153373,5.542528711235416,10.582511770238302,56
expressed,"H4, GSK591 24 h",TSS_pm400,12,8.51771345915539,6.03632167795939,11.40316809606871,56
expressed,"H4, GSK591 24 h",TSS_pm400,13,8.924121524553213,6.331780084791993,11.871151468897503,56
expressed,"H4, GSK591 24 h",TSS_pm400,14,9.400827819747585,6.6906392451854675,12.613470357198798,56
expressed,"H4, GSK591 24 h",TSS_pm400,15,10.031650013583047,7.0911400712281445,13.34650206924017,56
expressed,"H4, GSK591 24 h",TSS_pm400,16,10.856221065244506,7.571264455741535,14.57025134961786,56
expressed,"H4, GSK591 24 h",TSS_pm400,17,11.302470238506796,7.9755205721301685,15.160760178353106,56
expressed,"H4, GSK591 24 h",TSS_pm400,18,11.994832750090533,8.472705977457974,16.077977727843184,56
expressed,"H4, GSK591 24 h",TSS_pm400,19,12.635114059916566,8.99051531699087,17.0193172396613,56
expressed,"H4, GSK591 24 h",TSS_pm400,20,13.117494990783081,9.373741292314868,17.64980937883258,56
expressed,"H4, GSK591 24 h",TSS_pm400,21,13.937974684791905,9.919336351017868,18.75155578501522,56
expressed,"H4, GSK591 24 h",TSS_pm400,22,14.674945345733848,10.495430320820637,19.63102314787252,56
expressed,"H4, GSK591 24 h",TSS_pm400,23,15.17216658954109,10.848922872511404,20.099355300233828,56
expressed,"H4, GSK591 24 h",TSS_pm400,24,15.877246053942613,11.355579967924529,20.91161744113479,56
expressed,"H4, GSK591 24 h",TSS_pm400,25,16.6197087221912,12.03115065603384,21.767843687028755,56
expressed,"H4, GSK591 24 h",TSS_pm400,26,17.154307231519905,12.406508545817012,22.52152268028153,56
expressed,"H4, GSK591 24 h",TSS_pm400,27,17.800858655997683,13.026197293230467,23.119072046918532,56
expressed,"H4, GSK591 24 h",TSS_pm400,28,18.270718259896555,13.347190144386673,23.575678886435927,56
expressed,"H4, GSK591 24 h",TSS_pm400,29,18.392870074723447,13.555767871093538,23.60006336701768,56
expressed,"H4, GSK591 24 h",TSS_pm400,30,18.188369956886284,13.405271534857395,23.149980803882436,56
expressed,"H4, GSK591 24 h",TSS_pm400,31,17.637483451409,13.305815953958247,22.321863171075073,56
expressed,"H4, GSK591 24 h",TSS_pm400,32,17.57501388256039,13.262973179497893,22.11305603360491,56
expressed,"H4, GSK591 24 h",TSS_pm400,33,17.15268523905959,13.07793131661202,21.47385881804994,56
expressed,"H4, GSK591 24 h",TSS_pm400,34,16.86605686545372,12.913492420017718,21.080121951018057,56
expressed,"H4, GSK591 24 h",TSS_pm400,35,16.76114412588733,12.96608008783843,20.913085335748537,56
expressed,"H4, GSK591 24 h",TSS_pm400,36,16.385685015363347,12.557061965002546,20.391318854684272,56
expressed,"H4, GSK591 24 h",TSS_pm400,37,15.756444487401419,12.16808110617101,19.53324825753058,56
expressed,"H4, GSK591 24 h",TSS_pm400,38,15.434434849023816,11.871061700454776,19.164627340563705,56
expressed,"H4, GSK591 24 h",TSS_pm400,39,14.688470238447191,11.291409630988323,18.396130311787125,56
expressed,"H4, GSK591 24 h",TSS_pm400,40,13.607147446700505,10.490406853545993,16.949924835392405,56
expressed,"H4, GSK591 24 h",TSS_pm400,41,13.036945328542162,9.940796192948307,16.21195809373898,56
expressed,"H4, GSK591 24 h",TSS_pm400,42,12.410554498859815,9.45245237737362,15.632467178883298,56
expressed,"H4, GSK591 24 h",TSS_pm400,43,11.595421501142637,8.718774619272773,14.78751065349472,56
expressed,"H4, GSK591 24 h",TSS_pm400,44,10.603801351359914,7.914087599962951,13.541389207009756,56
expressed,"H4, GSK591 24 h",TSS_pm400,45,9.922581203707631,7.3862552073810805,12.63793667335063,56
expressed,"H4, GSK591 24 h",TSS_pm400,46,9.442357634752986,7.067853107119777,12.064061511499544,56
expressed,"H4, GSK591 24 h",TSS_pm400,47,8.53840626339827,6.355732000020465,10.921138350221193,56
expressed,"H4, GSK591 24 h",TSS_pm400,48,7.8018032109098785,5.817592448150473,10.04720829880397,56
expressed,"H4, GSK591 24 h",TSS_pm400,49,7.152108578596795,5.310690008694572,9.272708557987851,56
expressed,"H4, GSK591 24 h",TSS_pm400,50,6.262177120042699,4.651549969483168,8.08165164174512,56
expressed,"H4, GSK591 24 h",TSS_pm400,51,5.603959912061691,4.15999733276133,7.186939332655497,56
expressed,"H4, GSK591 24 h",TSS_pm400,52,5.113429279731852,3.7977007833389314,6.627176062831923,56
expressed,"H4, GSK591 24 h",TSS_pm400,53,4.721693627536297,3.455953817649611,6.177970002147235,56
expressed,"H4, GSK591 24 h",TSS_pm400,54,4.342902664494302,3.1643515492390315,5.833215925198579,56
expressed,"H4, GSK591 24 h",TSS_pm400,55,4.035968263527113,2.8956642708016025,5.450694110981588,56
